時間戳記,I agree that people in my life care about me.,How much of the time have I felt lonely during the past week?,My friends make me feel happy.,How often do I share my feelings with friends or relatives?,How much time do I feel hopeful about my future in my study/programme?,How would I rate my study-life balance?,"No matter what life throws at me, I believe that I can deal with it.",I believe that what can go wrong will go wrong.,I think the school provides good teaching systems.,I enjoy my school life and the school’s facilities.,How many times in the past week have I been in good spirits?,I am satisfied with my ability to perform activities of daily living.,I have enough money to buy things I want.,"In general, how much stress do I have with my personal finances?",My age is…,I am from… (Country/ Region),My gender is…,I am studying in…,The department where I am studying is 
2022/11/4 下午 4:42:45,Agree,Sometimes,Often,Three times a week or more,Sometimes,Neutral,Agree,Agree,Neither agree or disagree,Agree,Often,Satisfied,Agree,Moderate stress,23–27,Taiwan,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:48:07,Agree,Often,Sometimes,Once or twice a month,Sometimes,Very poor,Strongly disagree,Disagree,Neither agree or disagree,Agree,Rarely,Dissatisfied,Neither agree or disagree,High stress,23–27,Taiwan,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:48:58,Disagree,Very often or always,Sometimes,Once or twice a week,Rarely,Very poor,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Sometimes,Dissatisfied,Strongly disagree,High stress,23–27,China,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:49:26,Agree,Sometimes,Rarely,Three times a week or more,Often,Somewhat balance,Strongly agree,Agree,Strongly agree,Agree,Often,Satisfied,Agree,High stress,18–22,india,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:50:16,Agree,Rarely,Often,Once or twice a month,Sometimes,Somewhat poor,Agree,Strongly agree,Disagree,Neither agree or disagree,Sometimes,Satisfied,Neither agree or disagree,Moderate stress,23–27,India,Male,Master’s Degree,A/Computing
2022/11/4 下午 4:59:30,Agree,Often,Sometimes,Once or twice a week,Sometimes,Neutral,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Sometimes,Dissatisfied,Disagree,Moderate stress,23–27,Turkey,Female,Master’s Degree,"A/Media, Communications and Cultural Studies"
2022/11/4 下午 5:04:22,Agree,Often,Often,Three times a week or more,Often,Somewhat poor,Neither agree or disagree,Strongly agree,Disagree,Neither agree or disagree,Often,Neither satisfied nor dissatisfied,Disagree,Moderate stress,23–27,china,Male,Master’s Degree,A/Computing
2022/11/4 下午 5:21:53,Agree,Sometimes,Often,Three times a week or more,Sometimes,Somewhat poor,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Sometimes,Dissatisfied,Agree,Moderate stress,28–32,Taiwan,Female,Master’s Degree,A/Computing
2022/11/4 下午 5:23:08,Agree,Rarely,Often,Three times a week or more,Often,Somewhat balance,Agree,Disagree,Neither agree or disagree,Agree,Sometimes,Neither satisfied nor dissatisfied,Neither agree or disagree,Moderate stress,18–22,China,Male,Master’s Degree,A/Computing
2022/11/4 下午 7:00:12,Neither agree or disagree,Often,Sometimes,Once or twice a week,Often,Neutral,Neither agree or disagree,Disagree,Agree,Agree,Sometimes,Dissatisfied,Disagree,High stress,23–27,India,Female,Master’s Degree,A/Computing
2022/11/4 下午 10:46:09,Disagree,Very often or always,Rarely,Never,Sometimes,Somewhat poor,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Rarely,Dissatisfied,Disagree,High stress,23–27,Sorry,Male,Master’s Degree,A/Computing
